评论内容,分词结果
不如说是代入感,不如说是 代入 感
在电影开场的时候我也尝试去理清人物关系和叙事逻辑参宿究竟是怎么来到饭店的饭店中的人是真实存在的吗为什么饭店的员工都是鱼而南河是个人直到我在思考中错过了一个又一个梦幻美丽的画面没有答案于是我开始注重于眼前的荧幕随着剧情的推进拨开迷雾我的心随着翻涌的大海起伏努力感受电影带给我的每一分情感最后电影落幕而我热泪盈眶,在 电影 开场 的 时候 我 也 尝试 去 理清 人物 关系 和 叙事 逻辑 参宿 究竟 是 怎么 来到 饭店 的 饭店 中 的 人 是 真实 存在 的 吗 为什么 饭店 的 员工 都 是 鱼 而 南河 是 个人 直到 我 在 思考 中 错过 了 一个 又 一个 梦幻 美丽 的 画面 没有 答案 于是 我 开始 注重 于 眼前 的 荧幕 随着 剧情 的 推进 拨开 迷雾 我 的 心 随着 翻涌 的 大海 起伏 努力 感受 电影 带给 我 的 每一分 情感 最后 电影 落幕 而 我 热泪盈眶
回复 :是一场不同以往的观影体验一个绚烂无比的梦境世界我从中感受到的远比一部电影多得多,回复 : 是 一场 不同 以往 的 观影 体验 一个 绚烂 无比 的 梦境 世界 我 从中 感受 到 的 远 比 一部 电影 多得多
受过高等教育的有大学生水平的应该都能欣赏吧只能中国目前的高等教育率还是偏低了点,受过 高等教育 的 有 大学生 水平 的 应该 都 能 欣赏 吧 只能 中国 目前 的 高等教育 率 还是 偏低 了 点
他前面真的很拖沓啊我就搞不明白为啥说它前面拖沓就说别人情绪门槛不好还有什么幸福的人看不懂我寻思我也不幸福啊这电影又不是完美的总不能别人说了不足的地方就要被否定吧,他 前面 真的 很 拖沓 啊 我 就 搞 不 明白 为啥 说 它 前面 拖沓 就 说 别人 情绪 门槛 不好 还有 什么 幸福 的 人 看不懂 我 寻思 我 也 不 幸福 啊 这 电影 又 不是 完美 的 总 不能 别人 说 了 不足 的 地方 就要 被 否定 吧
说的太对了,说 的 太 对 了
我觉得那些没有经历过类似悲伤经历的人无法共情到深海的寓意,我 觉得 那些 没有 经历 过 类似 悲伤 经历 的 人 无法 共情 到 深海 的 寓意
你说的我基本都有我也有共情但不妨碍我觉得它的某些人物设计和剧情制作稍有欠缺,你 说 的 我 基本 都 有 我 也 有共情 但 不 妨碍 我 觉得 它 的 某些 人物 设计 和 剧情 制作 稍 有 欠缺
作为一个电影不一定要把共情这件事盖过一切难道以共情为标准就可以忽视基础的剧情和叙事了吗电影本质基础就是配乐构图剧情结合的叙事离了这个还谈什么电影这样的电影真的能好吗导演自己也说了叙事的逻辑不符合传统它确实是一次创新但是创新一定什么问题都没有,作为 一个 电影 不 一定 要 把 共情 这件 事盖 过 一切 难道 以共情 为 标准 就 可以 忽视 基础 的 剧情 和 叙事 了 吗 电影 本质 基础 就是 配乐 构图 剧情 结合 的 叙事 离 了 这个 还 谈 什么 电影 这样 的 电影 真的 能 好 吗 导演 自己 也 说 了 叙事 的 逻辑 不 符合 传统 它 确实 是 一次 创新 但是 创新 一定 什么 问题 都 没有
什么时候国内受众能意识到电影的表达除了能让本来能共情的人共情还要有能力让本来不能共情的人共情甚至于值得被剖析各种构图和技术性的东西国漫才能真正走起来,什么 时候 国内 受众 能 意识 到 电影 的 表达 除了 能 让 本来 能共情 的 人共情 还要 有 能力 让 本来 不能 共情 的 人共情 甚至于 值得 被 剖析 各种 构图 和 技术性 的 东西 国漫 才能 真正 走 起来
嗯觉得难看不好看就被怀疑共情能力了,嗯 觉得 难看 不 好看 就 被 怀疑 共情 能力 了
回复 :嗯,回复 : 嗯
苦哈哈,苦哈哈
回复 :我也是正常人没有精神疾病什么的但是我有很强的共情力所以我看这个电影收到的情绪影响会很大也不是正不正常人的问题是分人而已,回复 : 我 也 是 正常人 没有 精神疾病 什么 的 但是 我 有 很 强 的 共 情力 所以 我 看 这个 电影 收到 的 情绪 影响 会 很大 也 不是 正 不 正常人 的 问题 是 分人 而已
我喜欢深海就是因为也差不多的经历所以可以共情,我 喜欢 深海 就是 因为 也 差不多 的 经历 所以 可以 共情
回复 :对我也觉得影院声音太大声了但我其他地方都很满意,回复 : 对 我 也 觉得 影院 声音 太 大声 了 但 我 其他 地方 都 很 满意
回复 :宝宝我来回答1.参宿随着小黄鸭那个救生圈飘来的为什么到饭店是因为南河在这是一个梦为什么是饭店因为在海上漂流等救援饿着了为什么是南河因为南河救了他2.假的梦的嘛 3.因为在海上两个人漂着在周围只有鱼和水所以在梦中会折射出南河和饭店对应饥饿感为什么南河在梦中无所不能因为南河久了她在绝境中他就是那她的希望为什么南河丑因为他就是市井小人或者说丑人为什么梦里面变成了小丑因为在海上漂的时候他在逗女主笑丑加逗笑的折射就是小丑 所以看一些电影不妨把理性先放一边让自己感性一下最后看完了你会发现故事的完整性就在脑海里成型了就像看一本书结局未知却老是想去理解为结局埋下的伏笔是什么意思肯定是想不明白伏笔是什么意思还会丢失书中的系解有啥不懂的还可以问我呦当然只是我的个人理解,回复 : 宝宝 我来 回答 1 . 参宿 随着 小黄 鸭 那个 救生圈 飘来 的 为什么 到 饭店 是因为 南河 在 这 是 一个 梦 为什么 是 饭店 因为 在 海上 漂流 等 救援 饿 着 了 为什么 是 南河 因为 南河 救 了 他 2 . 假 的 梦 的 嘛 3 . 因为 在 海上 两个 人 漂着 在 周围 只有 鱼和水 所以 在 梦 中会 折射出 南河 和 饭店 对应 饥饿感 为什么 南河 在 梦 中 无所不能 因为 南河 久 了 她 在 绝境 中 他 就是 那 她 的 希望 为什么 南河 丑 因为 他 就是 市井小人 或者说 丑人 为什么 梦 里面 变成 了 小丑 因为 在 海上 漂 的 时候 他 在 逗 女主笑 丑加 逗笑 的 折射 就是 小丑 所以 看 一些 电影 不妨 把 理性 先放 一边 让 自己 感性 一下 最后 看 完 了 你 会 发现 故事 的 完整性 就 在 脑海 里 成型 了 就 像 看 一 本书 结局 未知 却 老 是 想 去 理解 为 结局 埋下 的 伏笔 是 什么 意思 肯定 是 想 不 明白 伏笔 是 什么 意思 还会 丢失 书中 的 系解 有 啥 不 懂 的 还 可以 问 我 呦 当然 只是 我 的 个人 理解
回复 :别正常人怎么怎么样了你自己不代表全部正常人,回复 : 别 正常人 怎么 怎么样 了 你 自己 不 代表 全部 正常人
回复 :哦,回复 : 哦
回复 :并不单薄作为视觉听觉情感都很敏感的我整部片的给我的感觉都是震撼的第一遍看的时候几乎每个细节都get到了不需言语镜头和音乐的语言已经告诉了很多很多处处埋下的伏笔画面音乐前后渐进式重复变调简直就像大编织的交响乐,回复 : 并 不 单薄 作为 视觉 听觉 情感 都 很 敏感 的 我 整部 片 的 给 我 的 感觉 都 是 震撼 的 第一遍 看 的 时候 几乎 每个 细节 都 get 到 了 不 需 言语 镜头 和 音乐 的 语言 已经 告诉 了 很多很多 处处 埋下 的 伏笔 画面 音乐 前后 渐进式 重复 变调 简直 就 像 大 编织 的 交响乐
回复 :你不幸福但你不够细腻前期越是拖沓后期的爆发力越足,回复 : 你 不 幸福 但 你 不够 细腻 前期 越是 拖沓 后期 的 爆发力 越足
回复 :看来我不是正常人呗,回复 : 看来 我 不是 正常人 呗
属于前两者的综合当时上映时跟着朋友去看但是从中间到最后哭得稀里哗啦完全知道导演在隐喻着什么因为在现实中也一次次这样打破心理障碍走出来了最后一次的潜意识的南河应该是我自己那时起真正内心强硬起来,属于 前 两者 的 综合 当时 上映 时 跟着 朋友 去 看 但是 从 中间 到 最后 哭 得 稀里哗啦 完全 知道 导演 在 隐喻 着 什么 因为 在 现实 中 也 一次次 这样 打破 心理障碍 走 出来 了 最后 一次 的 潜意识 的 南河 应该 是 我 自己 那时 起 真正 内心 强硬 起来
我哭了一包抽纸哎小时候经历过百分之80都对上了,我 哭 了 一包 抽纸 哎 小时候 经历 过 百分之 80 都 对 上 了
我之前是在互联网上给群友当过一段时间树洞的在看到深海大饭店绘本后我第一眼就看出来深海是幻梦不过最后结尾还是没有猜到,我 之前 是 在 互联网 上 给 群友 当 过 一段时间 树洞 的 在 看到 深海 大饭店 绘本 后 我 第一眼 就 看 出来 深海 是 幻梦 不过 最后 结尾 还是 没有 猜 到
回复 :这就是一场梦啊梦里有逻辑但不多其实在深海号刚出来的时候那个牌匾上的字就已经暗示了那些字排在一起没有意思他是乱的不知道你有没有做过那种特别特别精彩的梦早上起来哭的不行的那种但细想有很多漏洞我认为深海在梦境里的剧情就是想创造这种感觉个人想法,回复 : 这 就是 一场 梦 啊 梦里 有 逻辑 但 不 多 其实 在 深海 号 刚 出来 的 时候 那个 牌匾 上 的 字 就 已经 暗示 了 那些 字排 在 一起 没有 意思 他 是 乱 的 不 知道 你 有没有 做过 那种 特别 特别 精彩 的 梦 早上 起来 哭 的 不行 的 那种 但 细想 有 很多 漏洞 我 认为 深海 在 梦境 里 的 剧情 就是 想 创造 这种 感觉 个人 想法
回复 :这种主线挺明白的就是参宿和南河之间的救赎参的父母离婚他觉得这件事儿是自己的问题可依旧盼望着自己的父母能够重归于好不是但是不久之后自己的父亲就另娶他人了参觉得自己不像是家人被排除在外的感觉在父母的疏于看管之下参宿跌入海中南河前去拯救他两个人在大海上漂浮着乃至于神志不清参可以说是在临死前做了一个梦这个梦里面他一直在追寻妈妈的声音企图找回自己失去的幸福也碰到了南河而对方再一次在梦中救了自己参反而在南河身上体会到了被无条件爱着的感觉实现了对自己的拯救他没有和自己和解但是也正视了自己值得被爱的可能,回复 : 这种 主线 挺 明白 的 就是 参宿 和 南河 之间 的 救赎 参 的 父母 离婚 他 觉得 这件 事儿 是 自己 的 问题 可 依旧 盼望着 自己 的 父母 能够 重归于好 不是 但是 不久 之后 自己 的 父亲 就 另 娶 他人 了 参 觉得 自己 不 像是 家人 被 排除 在外 的 感觉 在 父母 的 疏于 看管 之下 参宿 跌入 海 中 南河 前去 拯救 他 两个 人 在 大 海上 漂浮 着 乃至于 神志不清 参 可以 说 是 在 临死前 做 了 一个 梦 这个 梦 里面 他 一直 在 追寻 妈妈 的 声音 企图 找回 自己 失去 的 幸福 也 碰到 了 南河 而 对方 再 一次 在 梦 中救 了 自己 参 反而 在 南河 身上 体会 到 了 被 无条件 爱着 的 感觉 实现 了 对 自己 的 拯救 他 没有 和 自己 和解 但是 也 正视 了 自己 值得 被 爱 的 可能
回复 :可是这种叙事也许会成为一种经典或者一种风格因为总归是有人会喜欢的而且那些不喜欢的声音也可能会在导演的某一次成功之后就被盖过了没有什么好看难看之说只是成不成功之说还有观众接不接受之说也许一个导演可以在一个小众的圈子里面出名这样他拍的电影怎么着都会有流量我都觉得没必要这么严苛因为相比于某些号称多少多少亿票房的国产电影来讲至少深海确实是切实的能打动一部分人而不是一个悬浮的空有一副英雄外壳的打着反叛旗帜的富二代反抗体制的电影,回复 : 可是 这种 叙事 也许 会 成为 一种 经典 或者 一种 风格 因为 总归 是 有人 会 喜欢 的 而且 那些 不 喜欢 的 声音 也 可能 会 在 导演 的 某 一次 成功 之后 就 被 盖 过 了 没有 什么 好看 难看 之 说 只是 成 不 成功 之 说 还有 观众 接 不 接受 之 说 也许 一个 导演 可以 在 一个 小众 的 圈子 里面 出名 这样 他 拍 的 电影 怎么着 都 会 有 流量 我 都 觉得 没 必要 这么 严苛 因为 相比 于 某些 号称 多少 多少 亿 票房 的 国产电影 来讲 至少 深海 确实 是 切实 的 能 打动 一部分 人 而 不是 一个 悬浮 的 空有 一副 英雄 外壳 的 打着 反叛 旗帜 的 富 二代 反抗 体制 的 电影
回复 :昆汀在起来之前拍的片还被人质疑是大烂片呢包括杀死比尔现在反而很多人都觉得这是个绝世大好片反而有人来拉片了只能说对吧之前别人都骂他说是一个烂片导演现在大家都管他叫天才伟大的导演嗯咱也不知道是为什么而且深海的技术方面是真的没话说他确实为国漫发展发了一很大一部分力我不觉得斗罗大陆或者是神印王座或者是玄机他现在做的动漫对国漫有什么很大贡献又或者是说我也不觉得哪吒对于国漫有什么贡献毕竟哪吒也没有真正的火出圈我是指火出国人圈毕竟外国人确实是不怎么感冒而且那个题材就是一个很寻常的日漫热血番的剧情只能说动漫还是看少了深海是当真研发出来的粒子技术而且被现在的众多3d国漫给运用上了包括我前面说的哪吒而且是免费哪怕他像你所说的有问题我依旧觉得这是一个好片子而且这个片子有一个好导演这个团队也是个好团队也许很多年之后哪吒会被人忘记但是深海肯定会遗留在很多人的心中也许过几年他们又开始说了深海一部被低估的电影只能说美好的东西大家有目共睹真正随着时间磨去封杀和舆论之后才能见真章,回复 : 昆汀 在 起来 之前 拍 的 片 还 被 人 质疑 是 大 烂片 呢 包括 杀死比尔 现在 反而 很多 人 都 觉得 这 是 个 绝世 大好 片 反而 有人 来 拉片 了 只能 说 对 吧 之前 别人 都 骂 他 说 是 一个 烂片 导演 现在 大家 都 管 他 叫 天才 伟大 的 导演 嗯 咱 也 不 知道 是 为什么 而且 深海 的 技术 方面 是 真的 没话说 他 确实 为国漫 发展 发了 一 很大 一部分 力 我 不 觉得 斗罗 大陆 或者 是 神印 王座 或者 是 玄机 他 现在 做 的 动漫 对国漫 有 什么 很大 贡献 又 或者 是 说 我 也 不 觉得 哪吒 对于 国漫 有 什么 贡献 毕竟 哪吒 也 没有 真正 的 火出 圈 我 是 指火 出国 人圈 毕竟 外国人 确实 是 不怎么 感冒 而且 那个 题材 就是 一个 很 寻常 的 日漫 热血 番 的 剧情 只能 说 动漫 还是 看少 了 深海 是 当真 研发 出来 的 粒子 技术 而且 被 现在 的 众多 3d 国漫 给 运用 上 了 包括 我 前面 说 的 哪吒 而且 是 免费 哪怕 他 像 你 所说 的 有 问题 我 依旧 觉得 这是 一个 好 片子 而且 这个 片子 有 一个 好 导演 这个 团队 也 是 个 好 团队 也许 很多年 之后 哪吒 会 被 人 忘记 但是 深海 肯定 会 遗留 在 很多 人 的 心中 也许 过 几年 他们 又 开始 说 了 深海 一部 被 低估 的 电影 只能 说 美好 的 东西 大家 有目共睹 真正 随着 时间 磨 去 封杀 和 舆论 之后 才能 见 真章
怪不得我感觉这部电影挺好的但是好几个朋友都觉得不行我共情力还是挺高的我看一半就从一半哭到结尾我不行了,怪不得 我 感觉 这部 电影 挺 好 的 但是 好几个 朋友 都 觉得 不行 我 共 情力 还是 挺 高 的 我 看 一半 就 从 一半 哭 到 结尾 我 不行 了
剧情方向是导演最开始就想讲的故事剧情中间很多问题已经是能做到的最好的了至少是在取舍方面做的最好 影片在视觉上投入了巨额的资金和时间所以画面绝对是一流水平的粒子水墨效果也给未来动画带来了很好的经验画面上能做到更高的水平 至于为什么是春节档导演说过前面的档期都拿不到且资源全投入片子里了春节档再不上公司就无法支撑到下一个档所以硬着头皮也得上了 目前票房是可以支持公司继续运作下去的只不过对不起投资人导演也提到这次确实太冒险后面的片子就会偏商业一点至少能回本不过不会停止向深海这种影片的创作探索在保证赚回票房的同时给大家带来更好的表现,剧情 方向 是 导演 最 开始 就 想 讲 的 故事 剧情 中间 很多 问题 已经 是 能 做到 的 最好 的 了 至少 是 在 取舍 方面 做 的 最好 影片 在 视觉 上 投入 了 巨额 的 资金 和 时间 所以 画面 绝对 是 一流 水平 的 粒子 水墨 效果 也 给 未来 动画 带来 了 很 好 的 经验 画面 上能 做到 更 高 的 水平 至于 为什么 是 春节 档 导演 说 过 前面 的 档期 都 拿 不到 且 资源 全 投入 片子 里 了 春节 档 再 不 上 公司 就 无法 支撑 到 下 一个 档 所以 硬着头皮 也 得 上 了 目前 票房 是 可以 支持 公司 继续 运作 下去 的 只不过 对不起 投资人 导演 也 提到 这次 确实 太 冒险 后面 的 片子 就 会 偏 商业 一点 至少 能 回本 不过 不会 停止 向 深海 这种 影片 的 创作 探索 在 保证 赚回 票房 的 同时 给 大家 带来 更好 的 表现
商业点大概就是不那么个性的合家欢了估计2333,商业 点 大概 就是 不 那么 个性 的 合家欢 了 估计 2333
片子是好片子很用心不过剧情是开始选的小众也注定很难有高票房但画面却花去了太多资金所以导致非常容易亏本 但也如导演所说向前看吧未来再能给观众带来一部更好的影片 票房是不能评判一部影片的经验试错这些都能给未来的片子带来更好的质量,片子 是 好 片子 很 用心 不过 剧情 是 开始 选 的 小众 也 注定 很难 有 高 票房 但 画面 却花 去 了 太 多 资金 所以 导致 非常容易 亏本 但 也 如 导演 所说 向前 看吧 未来 再能 给 观众 带来 一部 更好 的 影片 票房 是 不能 评判 一部 影片 的 经验 试错 这些 都 能 给 未来 的 片子 带来 更好 的 质量
回复 :就是选择更符合大众胃口的道路吧在更稳定的道路创新创作也是个不错的选择 至少也能给以前那些经常说国产电影只会拍千变一律的商业动画片一个比较崭新的东西(),回复 : 就是 选择 更 符合 大众 胃口 的 道路 吧 在 更 稳定 的 道路 创新 创作 也 是 个 不错 的 选择 至少 也 能 给 以前 那些 经常 说 国产电影 只会 拍千变 一律 的 商业 动画片 一个 比较 崭新 的 东西 ( )
回复 :其实以前中国动画鼎盛时期百花齐放更多我还是希望能有一天市场上更多那个味道的作品深海就有,回复 : 其实 以前 中国 动画 鼎盛时期 百花齐放 更 多 我 还是 希望 能 有 一天 市场 上 更 多 那个 味道 的 作品 深海 就 有
啊现在的票房能支撑起公司运作嘛我看到的好像是至少十亿出头才能回本呜呜呜呜呜俺真的还想看到这样的电影呜呜呜呜,啊 现在 的 票房 能 支撑 起 公司 运作 嘛 我 看到 的 好像 是 至少 十亿 出头 才能 回本 呜 呜呜 呜呜 俺 真的 还 想 看到 这样 的 电影 呜呜 呜呜
回复 :导演在直播时说的现在公司是可以继续运作下去的不过对不起他们的投资人而已投资人亏了,回复 : 导演 在 直播 时说 的 现在 公司 是 可以 继续 运作 下去 的 不过 对不起 他们 的 投资人 而已 投资人 亏了
回复 :好家伙好家伙但还是希望这样的影片多一点呀,回复 : 好家伙 好家伙 但 还是 希望 这样 的 影片 多一点 呀
回复 :吃饱饭再说行吧以前做动画国家出钱,回复 : 吃饱 饭 再说 行 吧 以前 做 动画 国家 出钱
回复 :唉扎心了,回复 : 唉 扎心 了
终于刷到一个说深海的up主了我也想说说我的感受我是被海报吸引的以为是一个绚丽的深海冒险故事看完以后心境的变化可以分为三段第一段是以跳海为止还算正常发展就是讲一个少女对于离异二孩世道不公成长迷茫的描述感觉属于正常水平第二段是参宿和南河在深海大饭店的冒险故事还是非常惊喜粒子渲染非常漂亮我去的电影院没有激光imax看起来有点暗可以推断出绝对是近年来动画特效第一而且故事非常紧凑又有点荒诞离奇很吸睛但是对于看过千与千寻的我来说感觉有些致敬嫌疑我还有点耻笑中国动画总要抄袭日漫第三段揭露真相到结尾完全颠覆了我的整个观影体验我原本以为不过如此的深海绝对是中国目前动画电影的巅峰比之前的大圣姜子牙更有深度因为以前的片子都是讲大义讲爱情却很少有聚焦到人的内心变化因为这是最难的无论爱还是什么道义在生活中总还有迹可循那一个人内心活动和情绪可是千变万化的好多人连说都说不清楚更别说用动画表现出来我相信每一个人都曾拥有过那段黑暗如深海那般的时光我也曾拥有世界是黑色的是没有未来的时常在深夜思考活着的意义我没有遇到南河但是我也还是走出来了因为深海不仅仅只有寂静的黑暗同样也总有五彩斑斓的色彩就应该如同电影中表现的那般荒诞多彩随心所欲勇于突破那深海之心我就是那变化多端永不磨灭的海精灵我才是我人生的主宰生活中的不如意只不过是大海之中的一次暴风雨我会沐浴这雷电迎向狂风朝着明天驶去南河不是谁都能预见的他也不过是曾对抗过黑暗的人他分享的一缕彩虹都足以照亮参宿心灵的天空而能撕破最后那层幕布的还是只有参宿自己人的生命只有一回现实来说第一段结束整个故事就结束了南河的出现是个奇迹真正能拯救自己的只有自己只有和自己和解不再去纠结过去的执念才能见到那最后的海湾,终于 刷到 一个 说 深海 的 up 主了 我 也 想 说 说 我 的 感受 我 是 被 海报 吸引 的 以为 是 一个 绚丽 的 深海 冒险 故事 看 完 以后 心境 的 变化 可以 分为 三段 第一段 是 以 跳海 为止 还 算 正常 发展 就是 讲 一个 少女 对于 离异 二孩 世道 不公 成长 迷茫 的 描述 感觉 属于 正常 水平 第二段 是 参宿 和 南河 在 深海 大饭店 的 冒险 故事 还是 非常 惊喜 粒子 渲染 非常 漂亮 我 去 的 电影院 没有 激光 imax 看起来 有点 暗 可以 推断出 绝对 是 近年来 动画 特效 第一 而且 故事 非常 紧凑 又 有点 荒诞 离奇 很 吸睛 但是 对于 看过 千与千寻 的 我 来说 感觉 有些 致敬 嫌疑 我 还 有点 耻笑 中国 动画 总 要 抄袭 日漫 第三段 揭露 真相 到 结尾 完全 颠覆 了 我 的 整个 观影 体验 我 原本 以为 不过如此 的 深海 绝对 是 中国 目前 动画电影 的 巅峰 比 之前 的 大圣 姜子牙 更 有 深度 因为 以前 的 片子 都 是 讲 大义 讲 爱情 却 很少 有 聚焦 到 人 的 内心 变化 因为 这是 最难 的 无论 爱 还是 什么 道义 在生活中 总 还 有迹可循 那 一个 人 内心 活动 和 情绪 可是 千变万化 的 好多 人连 说 都 说不清楚 更 别说 用 动画 表现 出来 我 相信 每 一个 人 都 曾 拥有 过 那段 黑暗 如 深海 那 般的 时光 我 也 曾 拥有 世界 是 黑色 的 是 没有 未来 的 时常 在 深夜 思考 活着 的 意义 我 没有 遇到 南河 但是 我 也 还是 走 出来 了 因为 深海 不仅仅 只有 寂静 的 黑暗 同样 也 总有 五彩斑斓 的 色彩 就 应该 如同 电影 中 表现 的 那般 荒诞 多彩 随心所欲 勇于 突破 那 深海 之心 我 就是 那 变化多端 永不磨灭 的 海 精灵 我 才 是 我 人生 的 主宰 生活 中 的 不如意 只不过 是 大海 之中 的 一次 暴风雨 我会 沐浴 这 雷电 迎 向 狂风 朝着 明天 驶去 南河 不是 谁 都 能 预见 的 他 也 不过 是 曾 对抗 过 黑暗 的 人 他 分享 的 一缕 彩虹 都 足以 照亮 参宿 心灵 的 天空 而能 撕破 最后 那层 幕布 的 还是 只有 参宿 自己 人 的 生命 只有 一回 现实 来说 第一段 结束 整个 故事 就 结束 了 南河 的 出现 是 个 奇迹 真正 能 拯救 自己 的 只有 自己 只有 和 自己 和解 不再 去 纠结 过去 的 执念 才能 见到 那 最后 的 海湾
抱抱,抱抱
回复 :,回复 :
谢谢您我获得了力量也祝您平安快乐,谢谢您 我 获得 了 力量 也 祝您 平安 快乐
回复 :,回复 :
虽然但是千与千寻也是借鉴了中国动漫的这种荒诞离奇源头本就是中国,虽然 但是 千与千寻 也 是 借鉴 了 中国 动漫 的 这种 荒诞 离奇 源头 本 就是 中国
回复 : 荒诞离奇的源来来自人性中国有世界也有关注电影本身吧~,回复 : 荒诞 离奇 的 源来 来自 人性 中国 有 世界 也 有 关注 电影 本身 吧 ~
看完的第一反应就是这个故事和海猫鸣泣之时里面右代宫真里亚的那一条线撞的太大了整个对应关系几乎是一样的小孩对现实的想象魔法与戏法的选择作为陌生人的南河或贝阿朵莉切的帮助有点太类似了如果是第一次感受这种故事我肯定会在网上狂吹但当时看完只觉得把右代宫真理亚的故事又品鉴了一遍,看 完 的 第一 反应 就是 这个 故事 和 海猫 鸣泣 之时 里面 右 代宫 真里亚 的 那 一条线 撞 的 太大 了 整个 对应 关系 几乎 是 一样 的 小孩 对 现实 的 想象 魔法 与 戏法 的 选择 作为 陌生人 的 南河 或贝 阿朵莉切 的 帮助 有点 太 类似 了 如果 是 第一次 感受 这种 故事 我 肯定 会 在 网上 狂吹 但 当时 看 完 只 觉得 把 右 代宫 真理 亚 的 故事 又 品鉴 了 一遍
可是不一样啊完全不一样虽然类型类似我也觉得但是日本那边同类情感作品本来就很多,可是 不 一样 啊 完全 不 一样 虽然 类型 类似 我 也 觉得 但是 日本 那边 同类 情感 作品 本来 就 很多
而且这个动画重点还是情绪表现带给观众的感受,而且 这个 动画 重点 还是 情绪 表现 带给 观众 的 感受
回复 : 这个电影在包括我在内的大部分观众眼里那还是一个不受关注的小女孩希望找到母亲感受亲情的故事这和真理亚的故事在动机上就很像她也是作为一个懂事的小孩希望楼座更爱自己 而更主要的就是呈现这个情感的方式都是一种幻想上的表现这个里面是深海大饭店是各种鱼人是用什么什么元素进行一一对应在海猫里也是这样真理亚的玩偶魔法黄金乡只能说如果抛去电影带来的视觉奇观感受我只能认为这是一个真理亚故事的低配版,回复 : 这个 电影 在 包括 我 在内 的 大部分 观众 眼里 那 还是 一个 不 受 关注 的 小女孩 希望 找到 母亲 感受 亲情 的 故事 这 和 真理 亚 的 故事 在 动机 上 就 很 像 她 也 是 作为 一个 懂事 的 小孩 希望 楼座 更爱 自己 而 更 主要 的 就是 呈现 这个 情感 的 方式 都 是 一种 幻想 上 的 表现 这个 里面 是 深海 大饭店 是 各种 鱼人 是 用 什么 什么 元素 进行 一一对应 在 海猫 里 也 是 这样 真理 亚 的 玩偶 魔法 黄金 乡 只能 说 如果 抛 去 电影 带来 的 视觉 奇观 感受 我 只能 认为 这是 一个 真理 亚 故事 的 低 配版
导演如果看过海猫就不会写出这么不明所以的故事了海猫的现实侧虽然拉胯但梦境足够优秀到让很多人忽略它的遗憾,导演 如果 看过 海猫 就 不会 写出 这么 不明 所以 的 故事 了 海猫 的 现实 侧 虽然 拉 胯 但 梦境 足够 优秀 到 让 很多 人 忽略 它 的 遗憾
回复 : 前两个小时的视觉奇观塑造的太过了如果能像海猫一样多给主角一些想要获得亲情的动机会更好 但我感觉比之前国产动画电影过于简单的立意和表现要好拍这个总比单纯拍神话故事要更让人高兴一些,回复 : 前 两个 小时 的 视觉 奇观 塑造 的 太过 了 如果 能 像 海猫 一样 多 给 主角 一些 想要 获得 亲情 的 动 机会 更好 但 我 感觉 比 之前 国产 动画电影 过于 简单 的 立意 和 表现 要 好 拍 这个 总 比 单纯 拍 神话故事 要 更让人 高兴 一些
回复 :导演在画面技术上用了太多力气导致画面破坏观感我被剧透后去看都觉得梦境和现实太割裂,回复 : 导演 在 画面 技术 上用 了 太 多 力气 导致 画面 破坏 观感 我 被 剧透后 去 看 都 觉得 梦境 和 现实 太 割裂
回复 :梦境和现实不一样感受那不是当然对于那个孩子来说梦境就是比现实更绚烂,回复 : 梦境 和 现实 不 一样 感受 那 不是 当然 对于 那个 孩子 来说 梦境 就是 比 现实 更 绚烂
回复 :还是不一样这个动画展现的是小孩子的视角海猫是推理解密但是情感和隐喻是有相似的但是其他又完全不一样,回复 : 还是 不 一样 这个 动画 展现 的 是 小孩子 的 视角 海猫 是 推理 解密 但是 情感 和 隐喻 是 有 相似 的 但是 其他 又 完全 不 一样
我看的时候基本上就没太联想到其他的作品剧情更多的是跟着剧情节奏的吐槽和感受所以我观感就比较好,我 看 的 时候 基本上 就 没 太 联想 到 其他 的 作品 剧情 更 多 的 是 跟着 剧情 节奏 的 吐 槽 和 感受 所以 我 观感 就 比较 好
